SMILES,Atomization_Energy_eV,Bandgap_Bulk_eV,Bandgap_Chain_eV
*c1cc(C(c2ccc(O)c(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,,2.3838
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3nc(Nc4cccc(N5C(=O)c6ccc(*)cc6C5=O)c4)nc(-c4ccccc4)n3)c1)C2=O,,,2.3845
*c1ccc2c(c1)nc1n2Cc2ccc3c4c2c-1ccc4c(=O)n1c2ccc(*)cc2nc31,,,2.3866
*c1ccc(C(c2ccccc2)c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,2.3895
*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2C)cc1,,,2.3895
*c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)cc2)cc1,,,2.395
*Nc1cc(-c2ccc(-c3ccc4nc5c6cccc7c(*)ccc(c(=O)n5c4c3)c76)cc2)ccc1O,,,2.3966
*c1ccc(C(=O)Nc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,2.3994
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3nc(N)nc(Nc4cccc(N5C(=O)c6ccc(*)cc6C5=O)c4)n3)c1)C2=O,,,2.4034
*CC(=O)Nc1ccc(NC(=O)CN2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,,,2.4122
*c1ccc(*)n1C(C(O)=NO)n1ccc2ccccc21,,,2.4131
*CC(*)c1ccccc1Cl,,,2.4139
*C(=O)c1ccc2c(c1O)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(*)c(O)c5C4=O)cc3)cc1)C2=O,,,2.4208
*c1cc(N=Nc2ccc(C#N)cc2)cc(*)c1O,,,2.4223
*C(=O)c1ccc2c(c1)C(=O)n1c-2nc2ccc(-c3ccc4c(c3)nc3n4C(=O)c4ccc(*)cc4-3)cc21,,,2.4234
*CC(O)CN(*)c1ccc(N=Nc2ccc(C(=O)O)cc2)cc1,,,2.4267
*CNc1ccc(C(*)=S)s1,-5.78,1.6806,2.4271
*C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,,,2.4295
*c1cc(COCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)c(*)s1,,,2.4332
*c1ccc(-c2sc(-c3cc(SCCCCCCCC)c(*)s3)cc2SCCCCCCCC)cc1,,,2.4336
*Nc1cc2cccc3c(*)cc4cccc1c4c23,,,2.4353
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cccc(N4C(=O)c5ccc(*)cc5C4=O)c3)cc1)C2=O,,,2.4357
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.4414
*c1cc(-c2nc3ccccc3s2)cc(-n2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)c1,,,2.4436
*c1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4ccc6[CH3]c(*)nc6c4)C5=O)cc3C2=O)cc1,,,2.4444
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCCOCCOc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.4449
*c1ccc(C(=O)Nc2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)cc1,,,2.445
*Nc1ccc(-c2ccc(C(*)=S)s2)cc1,-6.18,1.4764,2.4476
*c1cc(CCCc2ccccc2)c(*)s1,,,2.4481
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCCOc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.4523
*CC(*)C(=O)Oc1ccc(Cl)cc1,,,2.4559
*c1ccc(C2(c3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c3ccccc3-c3ccccc32)cc1,,,2.4589
*c1ccc(*)[CH3]1,,,2.4594
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,-6.37,2.0643,2.4596
*c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)c2)cc1,,,2.46
*c1ccc(C(=O)Nc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2C(=O)OCC)cc1,,,2.463
*c1ccc(C(CCCCCCCC)c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,2.4696
*C=C1CCC(=Cc2ccc(Sc3ccc(*)o3)o2)C1=O,,,2.4731
*c1ccc(-c2sc(-c3cc(SCCCC)c(*)s3)cc2SCCCC)cc1,,,2.4731
*c1cc(-c2nc3ccccc3o2)cc(-n2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)c1,,,2.4745
*c1cc(CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(*)s1,,,2.4769
*c1ccc(-c2ccc(-c3cc(CCCCCCCC)c(*)s3)s2)s1,,,2.4777
*C(=O)Nc1ccc(-c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,2.4779
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,-6.07,1.9834,2.4847
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C#Cc3cccc(N4C(=O)c5ccc(*)cc5C4=O)c3)c1)C2=O,,,2.4849
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)c3ccc(C(C)(C)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3)cc1)C2=O,,,2.4861
*Oc1ccc(N=C(c2ccc(C(=Nc3ccc(*)cc3)C(C#N)C#N)cc2)C(C#N)C#N)cc1,,,2.4883
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc(*)cc5C4=O)c(OC)c3)cc1OC)C2=O,,,2.4885
*c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc6[CH3]c(*)nc6c4)C5=O)cc3C2=O)cc1,,,2.4895
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2Br)c(Br)c1,,,2.4917
*c1cc(CCCCCCCCCCBr)c(*)s1,,,2.4923
*NC(=S)C(=O)O*,-5.89,1.8481,2.4947
*c1cc(CCCCC)c(*)s1,,,2.495
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3ncnc(Nc4cccc(N5C(=O)c6ccc(*)cc6C5=O)c4)n3)c1)C2=O,,,2.4957
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)Nc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)c1)C2=O,,,2.497
*c1cc(CCCCCCCCCC(O)CO)c(*)s1,,,2.497
*c1sc(*)c2nc(-c3ccccc3)c(C)nc12,,,2.498
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)cc4)cc3)cc2)cc1,,2.5835,2.5009
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,-5.95,1.7203,2.5023
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc3c(c1)C(=O)c1cc(N4C(=O)c5ccc(*)cc5C4=O)ccc1-3)C2=O,,,2.5033
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3nc(Nc4cccc(N5C(=O)c6ccc(*)cc6C5=O)c4)nc(N(C)C)n3)c1)C2=O,,,2.5033
*c1ccc(-c2cc(C(=O)OCCCCCCCCCCCC)c(*)s2)s1,,,2.5061
*C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(N6C(=O)c7ccc(*)cc7C6=O)cccc45)cc2)C3=O)n1,,,2.5119
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4s3)cc(N3C(=O)c4ccc(*)cc4C3=O)c1)C2=O,,,2.5125
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)c3)cc1)C2=O,,,2.514
*C=C1CCC(=Cc2ccc(*)cc2)C1=O,,,2.5147
*c1cc(COCCCCCCCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)c(*)s1,,,2.5163
*c1ccc(Sc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,2.3234,2.5188
*c1ccc(-c2ccc(-n3c(=O)c4c(F)c5c(=O)n(*)c(=O)c5c(F)c4c3=O)cc2C)c(C)c1,,,2.5202
*C=CC=Cc1nc2cc3sc(*)nc3cc2s1,,,2.5254
*c1cc(CCCCCCO[CH3](C)(C)C)c(*)s1,,,2.5263
*CCCCCCCCCC[CH3]1ccc(-c2cc[CH3](*)cc2)cc1,,,2.5264
*CC(*)(C)C(=O)Oc1ccc(N=Nc2ccc(C#N)cc2)cc1,,,2.5281
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,-6.34,1.5224,2.5282
*c1cc(CCCCCCCCCC2COC(=O)O2)c(*)s1,,,2.5293
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,-5.66,2.1029,2.5306
*C=CC(=O)C=Cc1ccc(Sc2ccc(*)o2)o1,,,2.5309
*c1ccc(Oc2ccccc2-n2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)cc1,,,2.5326
*c1ccc(-c2ccc(*)n2C#Cc2ccc(CCCCCC)cc2)s1,,,2.5339
*C(OC)=C(OC)c1ccc(*)s1,,,2.5351
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.5354
*CC(*)c1ccncc1,,,2.5368
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,,,2.5383
*c1ccc(*)n1C(O)=NO,,,2.5384
*c1cc(CCCC)c(*)s1,,,2.5394
*CC(=S)NC(*)=S,-5.43,1.7598,2.5403
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,-6.12,1.8638,2.5408
*CC(=S)CC(*)=S,-5.3,2.5638,2.5423
*c1ccc(-c2ccc(-c3ccc(*)n3C)s2)s1,,,2.5449
*c1cc(CCCCBr)c(*)s1,,,2.5458
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,,2.3992,2.5473
*c1cccc2c(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cccc12,,,2.5506
*CC(=O)C(=S)c1ccc(*)s1,-6,2.1804,2.5515
*c1ccc(N=Nc2ccc(-c3csc(-c4nc(*)cs4)n3)cc2)cc1,,,2.5523
*c1cc(CCCCCCBr)c(*)s1,,,2.553
*Nc1nc(Nn2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)nc(N(CCCC)CCCC)n1,,,2.5558
*c1ccc(C(C=CC)c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,2.5577
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,2.5578
*c1[CH3]c(*)c(OC)c1OC,,,2.5591
*c1ccc(-c2sc(-c3cc(CCCC)c(*)s3)cc2CCCC)cc1,,,2.5595
*c1cc(CCCCCC)c(*)s1,,,2.5608
*c1cc(CCS(=O)(=O)O)c(*)s1,,,2.5623
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,-6.18,1.6397,2.5627
*c1ccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)cc1,,,2.5637
*c1cccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)c1,,,2.5671
*c1cc(CCCCCCCC)c(*)s1,,,2.5682
*C(=O)Oc1ccc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2c1,,,2.5688
*c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(-c4nc5cc(-c6ccc7[CH3]c(*)nc7c6)ccc5[CH3]4)cc3)cc2)cc1,,,2.5692
*c1ccc(-c2ccc(-c3ccc(*)n3-c3c(F)c(F)c(F)c(F)c3F)s2)s1,,,2.5698
*Cc1ccc(C(=S)c2ccc(*)s2)s1,-5.94,2.2961,2.5715
*C(=O)c1ccc2c(c1)C(=Nc1ccc(Oc3cccc(N=C4OC(=O)c5ccc(*)cc54)c3)cc1)OC2=O,,,2.5722
*c1ccc(C(C)(C)c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,2.5724
*Nc1nc(Nn2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)nc(N(CCC)CCC)n1,,,2.5752
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.5757
*c1cc(CCCCCCCCC)c(*)s1,,,2.5759
*C=Nc1ccc(N=Cc2ccc(Sc3ccc(*)o3)o2)cc1,,,2.5795
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)c(C(C)(C)C)c1,,,2.5796
*CC(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1,,,2.5823
*Nc1cc(NC(=O)Nc2ccc(NC(*)=O)cc2)cc(C(=O)Nc2cccc3c2C(=O)c2ccccc2C3=O)c1,,,2.5826
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cn3)nc1)C2=O,,,2.583
*C(=O)c1cccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)c1,,,2.5831
*Nc1ccc(Nc2ccc(*)s2)s1,-5.96,3.4208,2.5847
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)c(O)c1,,,2.5896
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)c(-c2ccccc2)c1,,,2.5898
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCCOCCOCCOc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.5902
*NC(=S)OC(*)=S,-5.64,2.4316,2.5906
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)(F)F)cc5C4=O)cc3)cc1)C2=O,,,2.6011
*c1cc(CC(=O)OCCCCCCOc2ccc(N=Nc3ccc(C#N)cc3)cc2)c(*)s1,,,2.6018
*CNC(=S)C(*)=O,-5.79,2.1003,2.602
*c1cc(CCCCCCCCCC)c(*)s1,,,2.6027
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,-6.31,1.6353,2.6076
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3Br)c(Br)c1)C2=O,,,2.6114
*c1sc(*)c2nc(CC)c(CC)nc12,,,2.6114
*c1cc(C)c(*)[CH3]1,,,2.6116
*Nc1nc(Nn2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)nc(N(CC)CC)n1,,,2.6124
*C=CC(C)=CC=CC=C(C)C=Cc1nc(-c2csc(*)n2)cs1,,,2.6128
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,,,2.6168
*Oc1cccc(Oc2ccc3c(=O)n4c5cc(Oc6ccc7c(c6)nc6c8ccc(*)c9cccc(c(=O)n76)c98)ccc5nc4c4cccc2c34)c1,,,2.6185
*c1ccc(*)n1C,,,2.6193
*c1ccc(Oc2cccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)c2C#N)cc1,,,2.6202
*C(=O)Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4[CH3]c(-c5ccc(-c6nc7cc(*)ccc7[CH3]6)cc5)nc4c3)cc2)cc1,,,2.6204
*c1ccc(Oc2ccc(-c3cnc4cc5nc(*)cnc5cc4n3)cc2)cc1,,,2.6218
*Oc1ccc(C(=S)c2ccc(*)s2)s1,-6.04,2.3041,2.6229
*C(=O)Oc1ccc(-c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,2.6231
*c1ccc(C#Cc2cc(OCCCCCCCC)c(C#Cc3ccc(-c4nnc(*)o4)cc3)cc2OCCCCCCCC)cc1,,,2.6231
*CCc1ccc(C(*)=S)s1,-5.69,2.295,2.6244
*c1ccc(Cc2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)cc1,,,2.6251
*CC(O)CN(*)c1ccc(N=Nc2ccc(Cl)cc2)cc1,,,2.6263
*CC(=O)C(=S)c1ccc(*)cc1,-6.15,2.4428,2.6275
*CC(=S)c1ccc(N*)cc1,-5.95,2.1148,2.6292
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(OCCCCCCCC)cc(N3C(=O)c4ccc(*)cc4C3=O)c1)C2=O,,,2.6342
*Nc1ccc2c(c1)Cc1cc(NC(=O)c3cc(C(=O)O)c(C(*)=O)cc3C(=O)O)ccc1-2,,,2.6346
*c1ccc(-c2nc3cc4nc(*)c(-c5ccccc5)nc4cc3nc2-c2ccccc2)cc1,,,2.6364
*CC(O)CN(*)c1cc(C)c(N=Nc2ccc(Cl)cc2)c(C)c1,,,2.6365
*C=Cc1ccc2c(c1)Sc1cc(*)ccc1N2CCCCCCCC,,,2.6367
*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,-6.28,1.7412,2.6372
*CC(*)c1cc(Cl)ccc1Cl,,,2.6378
*C(=O)C(=S)OC(*)=S,-5.98,1.4146,2.6385
*c1cc(-c2ccc(OC)cc2)c(*)s1,,,2.6389
*c1cc(-c2ccc(OCCCCCCCC)cc2)c(*)s1,,,2.6404
*c1cc(-c2ccc(OCCCCCC)cc2)c(*)s1,,,2.6448
*c1cccc(Cc2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)c1,,,2.645
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,-6.18,2.4038,2.6462
*Oc1ccc(-c2ccc(C(*)=O)s2)s1,-6.27,2.3145,2.6473
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,-6.82,,2.6504
*C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,,,2.6514
*c1cc(CCCCCCOC(=O)COc2ccccc2)c(*)s1,,,2.6531
*c1[CH3]c(*)c2c1CCC2,,,2.6564
*c1ccc2c(c1)Cc1cc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)ccc1-2,,,2.6588
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4o3)cc(N3C(=O)c4ccc(*)cc4C3=O)c1)C2=O,,,2.6591
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.66
*c1cc(COCCCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)c(*)s1,,,2.6611
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(OCCCC)cc(N3C(=O)c4ccc(*)cc4C3=O)c1)C2=O,,,2.6613
*c1cc(-c2ccc(OCCCC)cc2)c(*)s1,,,2.6658
*c1cc(-c2ccc(CCCCCCCC)cc2)c(*)s1,,,2.6682
*c1ccc(Cc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,2.6697
*c1cc(CC(=O)O)c(*)s1,,,2.6702
*c1cc2c(s1)-c1sc(*)cc1C2CCCCCCN,,1.3223,2.6725
*Nc1ccc(Nc2ccc(*)cc2)cc1C(=O)O,,,2.6737
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,-6.17,1.8035,2.6743
*c1cc(-c2ccc(F)cc2)c(*)s1,,,2.6765
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,-5.84,2.4957,2.6791
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)c(C)c1,,,2.6804
*C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,2.6835
*CC(=O)c1ccc(C(*)=S)s1,-6,2.3542,2.6865
*c1ccc(*)n1CC(=O)OC,,,2.6899
*c1ccc2nc3c4cccc5c6nc7ccc(*)cc7nc6c6cccc(c3nc2c1)c6c45,,,2.69
*Oc1ccc(Oc2ccc(N=C(c3cccc(C(=Nc4ccc(*)cc4)C(C#N)C#N)c3)C(C#N)C#N)cc2)cc1,,,2.6924
*Nc1ccc(NC(=S)NC(=O)c2ccc(C(=O)NC(*)=S)cc2)cc1,,,2.6945
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccccc3)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.6954
*c1ccc(-c2nc3ccc(-c4ccc5nc(*)oc5c4)cc3o2)cc1,,,2.6967
*C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,2.699
*c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)cc1O)C2=O,,,2.7003
*C(=O)Nc1ccc(Oc2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,,,2.7025
*CC(=S)C(=O)O*,-5.84,2.0697,2.7057
*c1ccc(-c2cnc3cc4ncc(*)nc4cc3n2)cc1,,,2.7084
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,,,2.7084
*c1cc(C)c(C(=O)C(O)C2CC3C(*)CC3(O)C2=O)c(=O)n1C,,,2.7097
*C(=O)Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(-c4nc5cc(*)ccc5[CH3]4)cc3)cc2)cc1,,,2.7114
*c1ccc(C2(c3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c3ccccc3-c3ccccc32)cc1,,,2.7114
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,-6.05,1.9959,2.7134
*C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,2.7174
*c1ccc(Oc2ccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2Br)c(Br)c1,,,2.7192
*c1ccc(C(c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,,,2.7195
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCC(C)(C)COc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.7216
*CC(=O)c1ccc(C(*)=S)cc1,-6.15,2.4669,2.7253
*Oc1ccc(Oc2ccc(OC(=O)c3ccc(OC(=O)c4ccc(C(=O)Oc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,,,2.7268
*Nc1ccc(NC(=O)C=CC(*)=O)cc1,,,2.7273
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C)c2)cc1C,,,2.7305
*c1[CH3]c(*)c2c1CCCC2,,,2.7316
*CC(*)n1c(C)c(C)c2ccccc21,,,2.733
*CC(=S)c1ccc(O*)cc1,-5.99,2.3706,2.734
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,-6.31,,2.7359
*C=Nc1ccccc1N=Cc1ccc(Sc2ccc(*)o2)o1,,,2.7375
*C=Cc1ccc(-c2ccc(C=Cc3cc(*)ncn3)cc2)cc1,,,2.7379
*c1cc(-c2ccc(Br)cc2)c(*)s1,,,2.7394
*C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,,,2.7403
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.7406
*Nc1cc(NC(=O)c2ccc3cc(C(*)=O)ccc3c2)cc(C(=O)OCCOc2ccc(C=CC(=O)c3ccccc3)cc2)c1,,,2.7406
*CCc1ccc(C(*)=S)cc1,-5.87,2.7697,2.742
*c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc5nc(*)cc(-c6ccccc6)c5cc4n3)cc2)cc1,,,2.7429
*c1cc(-c2ccccc2)c(*)s1,,,2.7439
*Oc1ccc(N=Cc2ccc(N(c3ccccc3)c3ccc(C=Nc4ccc(*)cc4)cc3)cc2)cc1,,,2.7442
*C(=O)Nc1cccc(NC(=O)c2ccc3[CH3]c(-c4cc(-c5nc6cc(*)ccc6[CH3]5)cc(N5C(=O)c6ccccc6C5=O)c4)nc3c2)c1,,,2.7447
*c1cc(CCCCCCCCCCCC)c(*)s1,,,2.7478
*OC(=S)c1ccc(C(*)=O)s1,-6.21,2.3663,2.753
*C(c1ccccc1)C(*)(C#N)C#N,,,2.7551
*c1ccc(*)nc1,,,2.7583
*c1ccc(-c2cnc3cc4nc(*)cnc4cc3n2)cc1,,,2.7587
*CCOC(=S)NC(=S)c1ccc(N*)cc1,-5.81,2.4106,2.7606
*c1ccc(-c2ccc(-c3cnc4cc(-c5ccc6nc(*)cnc6c5)ccc4n3)cc2)cc1,,,2.7698
